cycle,mhz,width_1e2_ps,width_1e3_ps,width_1e4_ps,floor_ber,erase_us_p50,erase_us_p99,erase_us_max,program_us_p50,program_us_p99,program_us_max,sweep_batch,wear_session,note
0,25,39659.02,39639.97,39625.43,0.0,28737,,,,,,20260922T153305Z,,x=0 신품 — newchip prep 소거 n=128 (집계표 §1). p99·max·프로그램은 prep 이 안 남김
100,25,39667.81,39647.66,39628.26,0.0,32815,39302,40360,6984,7006,7013,20260922T154051Z,1790091548,
300,25,39666.44,39645.69,39627.97,0.0,35015,42579,43709,6989,7009,7016,20260922T154526Z,1790091548,
600,25,39667.68,39648.12,39628.29,0.0,36388,43538,45746,6982,7009,7019,20260922T154906Z,1790091548,
1400,25,39666.47,39643.72,39630.15,0.0,38207,44599,45810,6989,7012,7022,20260922T155620Z,1790091548,
3000,25,39668.02,39645.88,39633.58,0.0,40950,46645,48990,6987,7012,7024,20260922T160936Z,1790091548,
6400,25,39669.54,39649.68,39633.83,0.0,44609,52105,57653,6977,7012,7024,20260922T163730Z,1790091548,
13800,25,39669.09,39649.0,39631.05,0.0,50017,65311,77309,6959,7010,7026,20260922T174114Z,1790091548,
29600,25,39671.92,39654.47,39636.55,0.0,62583,79255,109662,6954,7007,7023,20260922T201800Z,1790091548,
63700,25,39670.26,39656.9,39645.76,0.0,82361,114287,120133,6960,7003,7029,20260923T033115Z,1790091548,
137000,25,39672.37,39656.94,39643.65,0.0,116356,131976,141163,6988,7103,7211,20260924T051239Z,1790212214,
294500,25,39674.16,39656.16,39641.63,0.0,130771,173130,222536,7197,14053,18282,20260926T044700Z,1790212214,
300000,25,39674.54,39658.41,39646.68,0.0,148090,189177,216009,9470,17662,19386,20260926T064156Z,1790212214,
300000,75,12185.71,12166.63,12154.47,0.0,,,,,,,20260926T070516Z,,run_sweep_chip.py --mode sweep (P/E 0) — 체크포인트 300000 이 쓴 PRBS 를 읽음
300000,45,21791.98,21770.86,21756.53,0.0,,,,,,,20260926T070639Z,,run_sweep_chip.py --mode sweep (P/E 0) — 체크포인트 300000 이 쓴 PRBS 를 읽음
