sigma_ps,n_reads,b_bits,theta,dphi_ps,trials,n_valid,width_true_ps,width_mean_ps,width_bias_ps,width_std_ps,sweep_time_s,generated_at,git_rev
11.0,64,2048,0.01,15.87,4000,4000,3948.82,3950.75,1.93,0.216,13.82,2026-08-23T01:54:15,83847c9-dirty
11.0,100,2048,0.01,15.87,4000,4000,3948.82,3950.75,1.93,0.172,21.58,2026-08-23T01:54:15,83847c9-dirty
11.0,112,2048,0.01,15.87,4000,4000,3948.82,3950.75,1.93,0.163,24.16,2026-08-23T01:54:15,83847c9-dirty
11.0,224,2048,0.01,15.87,4000,4000,3948.82,3950.75,1.93,0.116,48.3,2026-08-23T01:54:15,83847c9-dirty
11.0,448,2048,0.01,15.87,4000,4000,3948.82,3950.75,1.93,0.082,96.57,2026-08-23T01:54:15,83847c9-dirty
20.0,64,2048,0.01,15.87,4000,4000,3906.95,3907.32,0.38,0.317,13.82,2026-08-23T01:54:15,83847c9-dirty
20.0,100,2048,0.01,15.87,4000,4000,3906.95,3907.32,0.37,0.258,21.58,2026-08-23T01:54:15,83847c9-dirty
20.0,112,2048,0.01,15.87,4000,4000,3906.95,3907.33,0.38,0.238,24.16,2026-08-23T01:54:15,83847c9-dirty
20.0,224,2048,0.01,15.87,4000,4000,3906.95,3907.33,0.38,0.173,48.3,2026-08-23T01:54:15,83847c9-dirty
20.0,448,2048,0.01,15.87,4000,4000,3906.95,3907.33,0.39,0.123,96.57,2026-08-23T01:54:15,83847c9-dirty
50.0,64,2048,0.01,15.87,4000,4000,3767.37,3767.72,0.36,0.533,13.82,2026-08-23T01:54:15,83847c9-dirty
50.0,100,2048,0.01,15.87,4000,4000,3767.37,3767.73,0.37,0.425,21.58,2026-08-23T01:54:15,83847c9-dirty
50.0,112,2048,0.01,15.87,4000,4000,3767.37,3767.73,0.36,0.398,24.16,2026-08-23T01:54:15,83847c9-dirty
50.0,224,2048,0.01,15.87,4000,4000,3767.37,3767.72,0.36,0.291,48.3,2026-08-23T01:54:15,83847c9-dirty
50.0,448,2048,0.01,15.87,4000,4000,3767.37,3767.72,0.35,0.204,96.57,2026-08-23T01:54:15,83847c9-dirty
100.0,64,2048,0.01,15.87,4000,4000,3534.73,3534.89,0.16,1.134,13.82,2026-08-23T01:54:15,83847c9-dirty
100.0,100,2048,0.01,15.87,4000,4000,3534.73,3534.9,0.17,0.883,21.58,2026-08-23T01:54:15,83847c9-dirty
100.0,112,2048,0.01,15.87,4000,4000,3534.73,3534.91,0.18,0.827,24.16,2026-08-23T01:54:15,83847c9-dirty
100.0,224,2048,0.01,15.87,4000,4000,3534.73,3534.91,0.18,0.594,48.3,2026-08-23T01:54:15,83847c9-dirty
100.0,448,2048,0.01,15.87,4000,4000,3534.73,3534.91,0.18,0.417,96.57,2026-08-23T01:54:15,83847c9-dirty
11.0,112,2048,0.0001,15.87,4000,4000,3918.18,3919.68,1.5,1.388,24.16,2026-08-23T01:54:15,83847c9-dirty
11.0,112,2048,0.001,15.87,4000,4000,3932.01,3932.63,0.61,0.343,24.16,2026-08-23T01:54:15,83847c9-dirty
20.0,112,2048,0.0001,15.87,4000,4000,3851.24,3852.1,0.86,1.752,24.16,2026-08-23T01:54:15,83847c9-dirty
20.0,112,2048,0.001,15.87,4000,4000,3876.39,3876.83,0.43,0.609,24.16,2026-08-23T01:54:15,83847c9-dirty
50.0,112,2048,0.0001,15.87,4000,4000,3628.1,3628.27,0.17,3.295,24.16,2026-08-23T01:54:15,83847c9-dirty
50.0,112,2048,0.001,15.87,4000,4000,3690.98,3691.21,0.23,1.226,24.16,2026-08-23T01:54:15,83847c9-dirty
100.0,112,2048,0.0001,15.87,4000,4000,3256.2,3256.74,0.54,6.489,24.16,2026-08-23T01:54:15,83847c9-dirty
100.0,112,2048,0.001,15.87,4000,4000,3381.95,3382.12,0.17,2.104,24.16,2026-08-23T01:54:15,83847c9-dirty
